day,microcosm,species,species.number,weight.1,weight.2,weight.3 ,weight.4,weight.5,count
1,42,paramecium,1,0.3648,2.0972,0.2966,1,1,23
1,42,tetrahymena,2,0.3648,2.0972,0.2966,1,1,61
1,43,colpidium,1,0.3638,3.6644,0.3483,1,1,24
1,43,loxocephallus,2,0.3638,3.6644,0.3483,1,1,61
1,44,colpidium,1,0.3497,1.1012,0.4062,1,1,78
1,44,paramecium,2,0.3497,1.1012,0.4062,1,1,17
1,45,colpidium,1,0.3526,3.3024,0.4006,1,1,39
1,45,tetrahymena,2,0.3526,3.3024,0.4006,1,1,53
1,46,loxocephallus,1,0.3281,1.1209,0.355,1.4824,0.3492,65
1,46,paramecium,2,0.3281,1.1209,0.355,1,1,16
1,47,loxocephallus,1,0.4032,3.4455,0.3471,1,1,55
1,47,tetrahymena,2,0.4032,3.4455,0.3471,1,1,85
1,48,paramecium,1,0.3608,1.355,0.3627,1,1,26
1,48,tetrahymena,2,0.3608,1.355,0.3627,1.1195,0.4061,42
1,49,colpidium,1,0.4023,2.9155,0.412,1,1,41
1,49,loxocephallus,2,0.4023,2.9155,0.412,0.8467,0.3818,29
1,50,colpidium,1,0.3484,1.8545,0.4281,1,1,42
1,50,paramecium,2,0.3484,1.8545,0.4281,1,1,16
1,51,colpidium,1,0.3726,2.1182,0.3598,1,1,41
1,51,tetrahymena,2,0.3726,2.1182,0.3598,1.6482,0.3694,27
1,52,loxocephallus,1,0.3731,0.9295,0.3413,1,1,130
1,52,paramecium,2,0.3731,0.9295,0.3413,1,1,31
1,53,loxocephallus,1,0.3691,3.8201,0.3663,1,1,51
1,53,tetrahymena,2,0.3691,3.8201,0.3663,1,1,42
1,54,paramecium,1,0.3251,1.643,0.3465,1,1,36
1,54,tetrahymena,2,0.3251,1.643,0.3465,1.6228,0.3818,35
3,1,colpidium,1,0.3631,2.477,0.3267,1,1,71
3,1,loxocephallus,2,0.3631,2.477,0.3267,1,1,40
3,2,colpidium,1,0.3329,0.9438,0.3253,1,1,63
3,2,paramecium,2,0.3329,0.9438,0.3253,1,1,10
3,3,colpidium,1,0.3176,1.7589,0.3483,1,1,56
3,3,tetrahymena,2,0.3176,1.7589,0.3483,1,1,27
3,4,loxocephallus,1,0.3291,2.6312,0.3343,1,1,74
3,4,paramecium,2,0.3291,2.6312,0.3343,1,1,13
3,5,loxocephallus,1,0.3266,1.7121,0.3521,1.0407,0.339,26
3,5,tetrahymena,2,0.3266,1.7121,0.3521,1.0407,0.339,23
3,6,paramecium,1,0.3517,1.2106,0.3435,1,1,15
3,6,tetrahymena,2,0.3517,1.2106,0.3435,0.8392,0.292,31
3,7,colpidium,1,0.3366,2.6604,0.3654,1,1,32
3,7,loxocephallus,2,0.3366,2.6604,0.3654,1,1,64
3,8,colpidium,1,0.3205,1.0449,0.273,1,1,65
3,8,paramecium,2,0.3205,1.0449,0.273,1,1,23
3,9,colpidium,1,0.3694,2.1034,0.2774,1,1,49
3,9,tetrahymena,2,0.3694,2.1034,0.2774,1,1,52
3,10,loxocephallus,1,0.3391,0.9212,0.2743,1.8369,0.2782,26
3,10,paramecium,2,0.3391,0.9212,0.2743,1,1,16
3,11,loxocephallus,1,0.2232,1.7322,0.2182,1,1,63
3,11,tetrahymena,2,0.2232,1.7322,0.2182,1,1,44
3,12,paramecium,1,0.2836,1.2991,0.3066,1,1,21
3,12,tetrahymena,2,0.2836,1.2991,0.3066,0.9005,0.298,29
3,19,colpidium,1,0.2818,1.9603,0.2634,1.1072,0.3041,18
3,19,loxocephallus,2,0.2818,1.9603,0.2634,1.1072,0.3041,22
3,20,colpidium,1,0.3254,1.1903,0.2852,1,1,65
3,20,paramecium,2,0.3254,1.1903,0.2852,1,1,16
3,21,colpidium,1,0.3622,2.6652,0.2495,1,1,36
3,21,tetrahymena,2,0.3622,2.6652,0.2495,1,1,34
3,22,loxocephallus,1,0.3628,1.2694,0.2694,1.0671,0.2391,38
3,22,paramecium,2,0.3628,1.2694,0.2694,1,1,10
3,23,loxocephallus,1,0.2496,2.7469,0.239,1,1,45
3,23,tetrahymena,2,0.2496,2.7469,0.239,1,1,47
3,24,paramecium,1,0.3392,2.8497,0.2502,1,1,23
3,24,tetrahymena,2,0.3392,2.8497,0.2502,1,1,58
3,13,colpidium,1,0.3025,2.5433,0.2268,1,1,19
3,13,loxocephallus,2,0.3025,2.5433,0.2268,1,1,38
3,14,colpidium,1,0.3377,0.9018,0.2723,1.1509,0.2212,18
3,14,paramecium,2,0.3377,0.9018,0.2723,1,1,16
