microcosm,t.range
1,1
2,NA
3,1
4,1
5,1
6,1
7,1
8,NA
9,1
10,1
11,1
12,1
13,1
14,NA
15,1
16,1
17,1
18,1
19,2
20,NA
21,2
22,2
23,2
24,2
25,2
26,NA
27,2
28,2
29,2
30,2
31,2
32,NA
33,2
34,2
35,2
36,2
37,3
38,NA
39,3
40,3
41,3
42,3
43,3
44,NA
45,3
46,3
47,3
48,3
49,3
50,NA
51,3
52,3
53,3
54,3
